\n:11001101
  :111
! :0010000011
" :101000010
' :1100110010
, :1010100
- :1010000110
. :1010001
: :0010000000
; :1010000011110
? :101000001100
A :01100010
B :10100000010
C :0010001100
D :101000001101
E :1010000011111
F :10100000011
G :1010000111
H :00100000101
I :00100001
J :001000001000
K :001000001001
L :011000111
M :1010000000
N :00100010
O :00100011100
P :10100000100
R :101000001110
S :10100000101
T :1100110011
W :011000110
Y :00100011101
a :0111
b :001001
c :110010
d :01101
e :010
f :00101
g :101011
h :11011
i :1000
j :110011000
k :0110000
l :11000
m :110101
n :0011
o :1001
p :1100111
q :0010001111
r :0000
s :0001
t :1011
u :110100
v :1010101
w :101001
x :0010000001
y :011001
z :0010001101
